iter	Passed	Remaining
257	489	648
258	491	646
259	493	644
260	495	642
261	496	641
262	498	639
263	500	636
264	502	635
265	504	633
266	506	631
267	508	629
268	510	627
269	511	625
270	514	624
271	516	623
272	518	621
273	520	619
274	522	617
275	524	615
276	525	613
277	527	611
278	529	609
279	531	607
280	533	605
281	535	603
282	537	601
283	539	599
284	541	598
285	543	596
286	545	594
287	547	593
288	550	592
289	552	590
290	554	588
291	556	586
292	558	585
293	561	584
294	563	582
295	566	581
296	568	579
297	570	577
298	572	576
299	574	574
300	576	573
301	579	571
302	581	570
303	583	568
304	585	566
305	587	564
306	589	562
307	591	560
308	594	559
309	596	557
310	598	555
311	599	553
312	602	552
313	604	550
314	606	548
315	608	547
316	610	545
317	612	543
318	614	541
319	616	539
320	619	538
321	621	536
322	622	534
323	625	532
324	626	530
325	628	528
326	630	526
327	632	524
328	634	522
329	636	520
330	638	518
331	640	517
332	642	515
333	644	513
334	647	512
335	649	510
336	651	508
337	653	506
338	655	504
339	657	502
340	659	501
341	662	499
342	663	497
343	667	496
344	670	495
345	675	495
346	677	494
347	681	493
348	683	491
349	686	490
350	689	489
351	693	488
352	695	486
353	697	484
354	699	482
355	702	481
356	705	479
357	707	478
358	709	476
359	711	474
360	714	472
361	716	470
362	718	469
363	720	467
364	722	465
365	724	463
366	727	461
367	729	459
368	731	457
369	734	456
370	736	454
371	738	452
372	741	451
373	744	449
374	747	448
375	750	446
376	752	445
377	755	443
378	756	441
379	759	439
380	762	438
381	765	436
382	767	434
383	769	432
384	772	431
385	774	429
386	776	427
387	779	426
388	781	423
389	783	421
390	785	420
391	787	417
392	790	416
393	792	414
394	795	412
395	797	410
396	799	408
397	801	406
398	803	404
399	805	402
400	808	401
401	810	399
402	812	397
403	814	395
404	817	393
405	820	392
406	825	391
407	827	389
408	829	387
409	831	385
410	833	383
411	835	381
412	838	379
413	840	377
414	843	375
415	845	373
416	847	371
417	849	369
418	851	367
419	854	366
420	857	364
421	860	362
422	862	360
423	864	358
424	867	357
425	869	355
426	871	353
427	873	351
428	876	349
429	878	347
430	880	345
431	882	343
432	884	341
433	886	339
434	889	337
435	891	335
436	893	333
437	895	331
438	897	329
439	900	327
440	902	325
441	904	323
442	906	321
443	908	319
444	910	317
445	912	315
446	914	313
447	917	311
448	919	309
449	921	307
450	923	305
451	925	303
452	927	300
453	929	298
454	931	296
455	933	294
456	935	292
457	937	290
458	939	288
459	941	286
460	943	284
461	945	282
462	947	280
463	950	278
464	952	276
465	954	274
466	956	272
467	958	270
468	960	268
469	963	266
470	965	264
471	967	262
472	968	260
473	970	257
474	972	255
475	974	253
476	975	251
477	978	249
478	980	247
479	981	245
480	983	243
481	985	241
482	986	239
483	988	236
484	989	234
485	991	232
486	993	230
487	995	228
488	996	226
489	998	224
490	1000	222
491	1001	219
492	1003	217
493	1004	215
494	1006	213
495	1008	211
496	1010	209
497	1012	207
498	1014	205
499	1015	203
500	1017	201
501	1019	198
502	1021	196
503	1022	194
504	1025	192
505	1026	190
506	1028	188
507	1030	186
508	1032	184
509	1034	182
510	1036	180
511	1038	178
512	1040	176
513	1042	174
514	1043	172
515	1045	170
516	1047	168
517	1048	166
518	1050	163
519	1052	161
520	1054	159
521	1056	157
522	1058	155
523	1060	153
524	1062	151
525	1064	149
526	1065	147
527	1067	145
528	1069	143
529	1071	141
530	1072	139
531	1074	137
532	1076	135
533	1078	133
534	1079	131
535	1081	129
536	1083	127
537	1084	125
538	1086	122
539	1088	120
540	1090	118
541	1091	116
542	1093	114
543	1095	112
544	1096	110
545	1098	108
546	1100	106
547	1102	104
548	1104	102
549	1105	100
550	1107	98
551	1109	96
552	1111	94
553	1112	92
554	1114	90
555	1116	88
556	1118	86
557	1119	84
558	1121	82
559	1123	80
560	1125	78
561	1127	76
562	1129	74
563	1131	72
564	1132	70
565	1135	68
566	1136	66
567	1138	64
568	1140	62
569	1142	60
570	1144	58
571	1145	56
572	1148	54
573	1150	52
574	1152	50
575	1154	48
576	1156	46
577	1158	44
578	1160	42
579	1161	40
580	1164	38
581	1166	36
582	1168	34
583	1170	32
584	1172	30
585	1174	28
586	1175	26
587	1177	24
588	1179	22
589	1181	20
590	1183	18
591	1185	16
592	1186	14
593	1188	12
594	1190	10
595	1192	8
596	1194	6
597	1196	4
598	1198	2
599	1199	0
