iter	RMSE
392	1.916664483
393	1.916485969
394	1.915775681
395	1.914957956
396	1.91454515
397	1.913658369
398	1.913283621
399	1.912922614
400	1.91169434
401	1.910520338
402	1.910491613
403	1.910132695
404	1.909901837
405	1.908977404
406	1.907525601
407	1.906981644
408	1.906450292
409	1.90601945
410	1.905721388
411	1.904637308
412	1.904408567
413	1.904230167
414	1.904013455
415	1.903451749
416	1.902244702
417	1.901832547
418	1.901587252
419	1.900591679
420	1.899763308
421	1.899566349
422	1.897949596
423	1.896760993
424	1.89590733
425	1.89472515
426	1.89378186
427	1.892586232
428	1.892240156
429	1.891498565
430	1.890816654
431	1.889727076
432	1.888977044
433	1.888108101
434	1.887157611
435	1.887075257
436	1.886219612
437	1.885526454
438	1.885357832
439	1.884593713
440	1.883723023
441	1.882567654
442	1.881728269
443	1.880867351
444	1.880580551
445	1.878993662
446	1.878685234
447	1.878656154
448	1.877650594
449	1.877392071
450	1.876589774
451	1.875697877
452	1.874319726
453	1.873940836
454	1.873165722
455	1.872827746
456	1.872643859
457	1.872337128
458	1.871976979
459	1.871248632
460	1.870017274
461	1.869120039
462	1.868295634
463	1.867471825
464	1.866328413
465	1.865347894
466	1.863760251
467	1.863061393
468	1.862231045
469	1.861317201
470	1.86034674
471	1.859340601
472	1.858932507
473	1.858660092
474	1.85744879
475	1.857281839
476	1.856950483
477	1.856154676
478	1.85529073
479	1.85469514
480	1.854504012
481	1.853658539
482	1.852772838
483	1.852748072
484	1.851953015
485	1.851200137
486	1.850623688
487	1.849880046
488	1.84903911
489	1.848446504
490	1.847674314
491	1.847644423
492	1.8473469
493	1.847057672
494	1.846672806
495	1.845932379
496	1.84532357
497	1.844245175
498	1.84397044
499	1.843843366
500	1.843036259
501	1.841974456
502	1.840545189
503	1.840053066
504	1.838926839
505	1.838503846
506	1.837820243
507	1.836936454
508	1.836649448
509	1.835351717
510	1.834499817
511	1.833505621
512	1.832635832
513	1.831652616
514	1.83033077
515	1.82978714
516	1.829381611
517	1.829074185
518	1.828776919
519	1.827858213
520	1.827473458
521	1.827169453
522	1.825844231
523	1.825183271
524	1.82497057
525	1.82411784
526	1.824000353
527	1.823246651
528	1.822612884
529	1.822334139
530	1.821487467
531	1.821171378
532	1.820865162
533	1.820178716
534	1.82000825
535	1.819211632
536	1.818621303
537	1.817471913
538	1.816840873
539	1.815687247
540	1.815154786
541	1.814222703
542	1.813263497
543	1.813227233
544	1.812962075
545	1.812270123
546	1.811922004
547	1.811550838
548	1.811126352
549	1.810793232
550	1.810110602
551	1.810089469
552	1.809014717
553	1.808998549
554	1.80864101
555	1.808081784
556	1.807132126
557	1.807113044
558	1.806727968
559	1.805887012
560	1.805340296
561	1.803937655
562	1.80334313
563	1.803058539
564	1.802718957
565	1.801933883
566	1.801032447
567	1.800730866
568	1.800412466
569	1.799182003
570	1.798362894
571	1.797473523
572	1.797205088
573	1.7968194
574	1.796560851
575	1.795819344
576	1.794974814
577	1.794265041
578	1.793543471
579	1.792691095
580	1.792616406
581	1.791658937
582	1.791635297
583	1.790894517
584	1.790031255
585	1.78934794
586	1.788772314
587	1.788524413
588	1.788510199
589	1.787653031
590	1.787136581
591	1.787114688
592	1.785919264
593	1.785487778
594	1.785388521
595	1.784435318
596	1.783891476
597	1.783076025
598	1.782251903
599	1.781178627
